,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
6156,#139 Best Public High Schools in New Jersey,H,Old Bridge Township School District,A-Overall Niche Grade,9-12 ,Old Bridge High School,"2,817 Students",137.0,13:1 Student-Teacher Ratio, NJ ,matawan,Public School ,https://www.niche.com/k12/old-bridge-high-school-matawan-nj/
6158,#140 Best Public High Schools in New Jersey,H,Secaucus Board of Education,A-Overall Niche Grade,9-12 ,Secaucus High School,605 Students,138.0,12:1 Student-Teacher Ratio, NJ ,secaucus,Public School ,https://www.niche.com/k12/secaucus-high-school-secaucus-nj/
6160,#141 Best Public High Schools in New Jersey,H,Morris Hills Regional School District,A-Overall Niche Grade,9-12 ,Morris Knolls High School,"1,549 Students",139.0,11:1 Student-Teacher Ratio, NJ ,denville,Public School ,https://www.niche.com/k12/morris-knolls-high-school-denville-nj/
6162,#142 Best Public High Schools in New Jersey,H,Northern Burlington County Regional School District,A-Overall Niche Grade,9-12 ,Northern Burlington County Regional High School,"1,324 Students",140.0,13:1 Student-Teacher Ratio, NJ ,columbus,Public School ,https://www.niche.com/k12/northern-burlington-county-regional-high-school-columbus-nj/
6164,#143 Best Public High Schools in New Jersey,H,Midland Park School District,A-Overall Niche Grade,7-12 ,Midland Park Jr./Sr. High School,451 Students,141.0,10:1 Student-Teacher Ratio, NJ ,midland-park,Public School ,https://www.niche.com/k12/midland-park-jr-sr-high-school-midland-park-nj/
6168,#144 Best Public High Schools in New Jersey,H,Waldwick School District,A-Overall Niche Grade,9-12 ,Waldwick High School,439 Students,142.0,10:1 Student-Teacher Ratio, NJ ,waldwick,Public School ,https://www.niche.com/k12/waldwick-high-school-waldwick-nj/
6170,#145 Best Public High Schools in New Jersey,H,Hasbrouck Heights School District,A-Overall Niche Grade,9-12 ,Hasbrouck Heights High School,582 Students,143.0,14:1 Student-Teacher Ratio, NJ ,hasbrouck-heights,Public School ,https://www.niche.com/k12/hasbrouck-heights-high-school-hasbrouck-heights-nj/
6172,#146 Best Public High Schools in New Jersey,H,Freehold Regional High School District,A-Overall Niche Grade,9-12 ,Howell High School,"2,110 Students",144.0,15:1 Student-Teacher Ratio, NJ ,farmingdale,Public School ,https://www.niche.com/k12/howell-high-school-farmingdale-nj/
6174,#147 Best Public High Schools in New Jersey,H,Manasquan School District,A-Overall Niche Grade,9-12 ,Manasquan High School,922 Students,145.0,13:1 Student-Teacher Ratio, NJ ,manasquan,Public School ,https://www.niche.com/k12/manasquan-high-school-manasquan-nj/
6176,#148 Best Public High Schools in New Jersey,H,Lenape Regional High School District,A-Overall Niche Grade,9-12 ,Seneca High School,"1,177 Students",146.0,11:1 Student-Teacher Ratio, NJ ,tabernacle,Public School ,https://www.niche.com/k12/seneca-high-school-tabernacle-nj/
6179,#149 Best Public High Schools in New Jersey,H,Weehawken Public School District,A-Overall Niche Grade,7-12 ,Weehawken High School,551 Students,147.0,12:1 Student-Teacher Ratio, NJ ,weehawken,Public School ,https://www.niche.com/k12/weehawken-high-school-weehawken-nj/
6181,#150 Best Public High Schools in New Jersey,H,Southern Regional School District,A-Overall Niche Grade,9-12 ,Southern Regional High School,"1,933 Students",148.0,13:1 Student-Teacher Ratio, NJ ,manahawkin,Public School ,https://www.niche.com/k12/southern-regional-high-school-manahawkin-nj/
6183,#151 Best Public High Schools in New Jersey,H,Emerson Public School District,A-Overall Niche Grade,7-12 ,Emerson Junior/Senior High School,529 Students,149.0,11:1 Student-Teacher Ratio, NJ ,emerson,Public School ,https://www.niche.com/k12/emerson-junior-senior-high-school-emerson-nj/
6207,#159 Best Public High Schools in New Jersey,H,Highlands,A-Overall Niche Grade,7-12 ,Henry Hudson Regional School,307 Students,160.0,9:1 Student-Teacher Ratio, NJ ,highlands,Public School ,https://www.niche.com/k12/henry-hudson-regional-school-highlands-nj/
6209,#160 Best Public High Schools in New Jersey,H,Jackson Township School District,A-Overall Niche Grade,9-12 ,Jackson Memorial High School,"1,558 Students",161.0,14:1 Student-Teacher Ratio, NJ ,jackson,Public School ,https://www.niche.com/k12/jackson-memorial-high-school-jackson-nj/
6212,#161 Best Public High Schools in New Jersey,H,Caldwell-West Caldwell School District,A-Overall Niche Grade,9-12 ,James Caldwell High School,794 Students,162.0,11:1 Student-Teacher Ratio, NJ ,west-caldwell,Public School ,https://www.niche.com/k12/james-caldwell-high-school-west-caldwell-nj/
6214,#162 Best Public High Schools in New Jersey,H,Newark Public School District,A-Overall Niche Grade,9-12 ,Bard Early College High School,305 Students,163.0,14:1 Student-Teacher Ratio, NJ ,newark,Public School ,https://www.niche.com/k12/bard-early-college-high-school-newark-nj/
6216,#163 Best Public High Schools in New Jersey,H,Collingswood Public School District,A-Overall Niche Grade,9-12 ,Collingswood High School,691 Students,164.0,11:1 Student-Teacher Ratio, NJ ,collingswood,Public School ,https://www.niche.com/k12/collingswood-high-school-collingswood-nj/
6220,#164 Best Public High Schools in New Jersey,H,Roselle Park Board of Education,B+Overall Niche Grade,9-12 ,Roselle Park High School,624 Students,165.0,12:1 Student-Teacher Ratio, NJ ,roselle-park,Public School ,https://www.niche.com/k12/roselle-park-high-school-roselle-park-nj/
6222,#165 Best Public High Schools in New Jersey,H,Ridgefield School District,B+Overall Niche Grade,9-12 ,Ridgefield Memorial High School,457 Students,166.0,9:1 Student-Teacher Ratio, NJ ,ridgefield,Public School ,https://www.niche.com/k12/ridgefield-memorial-high-school-ridgefield-nj/
6224,#166 Best Public High Schools in New Jersey,H,Palisades Park School District,B+Overall Niche Grade,7-12 ,Palisades Park Junior/Senior High School,664 Students,167.0,11:1 Student-Teacher Ratio, NJ ,palisades-park,Public School ,https://www.niche.com/k12/palisades-park-junior-senior-high-school-palisades-park-nj/
6226,#167 Best Public High Schools in New Jersey,H,Wall Township Public School District,B+Overall Niche Grade,9-12 ,Wall High School,"1,113 Students",168.0,9:1 Student-Teacher Ratio, NJ ,wall,Public School ,https://www.niche.com/k12/wall-high-school-wall-nj/
6228,#168 Best Public High Schools in New Jersey,H,Hammonton School District,B+Overall Niche Grade,9-12 ,Hammonton High School,"1,335 Students",169.0,14:1 Student-Teacher Ratio, NJ ,hammonton,Public School ,https://www.niche.com/k12/hammonton-high-school-hammonton-nj/
6232,#169 Best Public High Schools in New Jersey,H,Delsea Regional High School District,B+Overall Niche Grade,9-12 ,Delsea Regional High School,"1,069 Students",170.0,15:1 Student-Teacher Ratio, NJ ,franklinville,Public School ,https://www.niche.com/k12/delsea-regional-high-school-franklinville-nj/
6234,#170 Best Public High Schools in New Jersey,H,Kingsway Regional School District,B+Overall Niche Grade,9-12 ,Kingsway Regional High School,"1,721 Students",171.0,15:1 Student-Teacher Ratio, NJ ,woolwich-twp,Public School ,https://www.niche.com/k12/kingsway-regional-high-school-woolwich-twp-nj/
6236,#171 Best Public High Schools in New Jersey,H,Cedar Grove Township School District,B+Overall Niche Grade,9-12 ,Cedar Grove High School,508 Students,172.0,12:1 Student-Teacher Ratio, NJ ,cedar-grove,Public School ,https://www.niche.com/k12/cedar-grove-high-school-cedar-grove-nj/
6238,#172 Best Public High Schools in New Jersey,H,Spotswood Public School District,B+Overall Niche Grade,9-12 ,Spotswood High School,721 Students,173.0,13:1 Student-Teacher Ratio, NJ ,spotswood,Public School ,https://www.niche.com/k12/spotswood-high-school-spotswood-nj/
6240,#173 Best Public High Schools in New Jersey,H,Pequannock Township School District,B+Overall Niche Grade,9-12 ,Pequannock Township High School,687 Students,174.0,11:1 Student-Teacher Ratio, NJ ,pompton-plains,Public School ,https://www.niche.com/k12/pequannock-township-high-school-pompton-plains-nj/
6243,#174 Best Public High Schools in New Jersey,H,Point Pleasant Borough School District,B+Overall Niche Grade,9-12 ,Point Pleasant Borough High School,843 Students,175.0,11:1 Student-Teacher Ratio, NJ ,point-pleasant,Public School ,https://www.niche.com/k12/point-pleasant-borough-high-school-point-pleasant-nj/
6245,#175 Best Public High Schools in New Jersey,H,Burlington Township Board of Education,B+Overall Niche Grade,9-12 ,Burlington Township High School,"1,271 Students",176.0,12:1 Student-Teacher Ratio, NJ ,burlington,Public School ,https://www.niche.com/k12/burlington-township-high-school-burlington-nj/
6247,#176 Best Public High Schools in New Jersey,H,E Rutherford,B+Overall Niche Grade,9-12 ,Henry P. Becton Regional High School,500 Students,177.0,11:1 Student-Teacher Ratio, NJ ,e-rutherford,Public School ,https://www.niche.com/k12/henry-p-becton-regional-high-school-e-rutherford-nj/
6251,,H,ny,,,,,,,ny,,,https://www.niche.com/k12/buffalo-seminary-buffalo-ny/
6264,#182 Best Public High Schools in New Jersey,H,West Long Branch,B+Overall Niche Grade,9-12 ,Shore Regional High School,629 Students,185.0,11:1 Student-Teacher Ratio, NJ ,west-long-branch,Public School ,https://www.niche.com/k12/shore-regional-high-school-west-long-branch-nj/
6268,#183 Best Public High Schools in New Jersey,H,Wanaque,B+Overall Niche Grade,9-12 ,Lakeland Regional High School,920 Students,186.0,10:1 Student-Teacher Ratio, NJ ,wanaque,Public School ,https://www.niche.com/k12/lakeland-regional-high-school-wanaque-nj/
6270,#184 Best Public High Schools in New Jersey,H,Toms River Regional School District,B+Overall Niche Grade,9-12 ,Toms River High School East,"1,341 Students",187.0,12:1 Student-Teacher Ratio, NJ ,east-toms-river,Public School ,https://www.niche.com/k12/toms-river-high-school-east-toms-river-nj/
6272,#185 Best Public High Schools in New Jersey,H,Ridgefield Park School District,B+Overall Niche Grade,7-12 ,Ridgefield Park Junior/Senior High School,"1,216 Students",188.0,13:1 Student-Teacher Ratio, NJ ,ridgefield-park,Public School ,https://www.niche.com/k12/ridgefield-park-junior-senior-high-school-ridgefield-park-nj/
6275,#186 Best Public High Schools in New Jersey,H,Newton Public School District,B+Overall Niche Grade,9-12 ,Newton High School,728 Students,189.0,11:1 Student-Teacher Ratio, NJ ,newton,Public School ,https://www.niche.com/k12/newton-high-school-newton-nj/
6277,#187 Best Public High Schools in New Jersey,H,Teaneck School District,B+Overall Niche Grade,9-12 ,Teaneck Senior High School,"1,238 Students",190.0,10:1 Student-Teacher Ratio, NJ ,teaneck,Public School ,https://www.niche.com/k12/teaneck-senior-high-school-teaneck-nj/
6279,#188 Best Public High Schools in New Jersey,H,Sussex,B+Overall Niche Grade,9-12 ,High Point Regional High School,918 Students,191.0,11:1 Student-Teacher Ratio, NJ ,sussex,Public School ,https://www.niche.com/k12/high-point-regional-high-school-sussex-nj/
6283,#189 Best Public High Schools in New Jersey,H,Little Falls,B+Overall Niche Grade,9-12 ,Passaic Valley Regional High School,"1,235 Students",192.0,12:1 Student-Teacher Ratio, NJ ,little-falls,Public School ,https://www.niche.com/k12/passaic-valley-regional-high-school-little-falls-nj/
6285,#190 Best Public High Schools in New Jersey,H,Middlesex Borough School District,B+Overall Niche Grade,9-12 ,Middlesex High School,604 Students,193.0,10:1 Student-Teacher Ratio, NJ ,middlesex,Public School ,https://www.niche.com/k12/middlesex-high-school-middlesex-nj/
6287,#191 Best Public High Schools in New Jersey,H,Toms River Regional School District,B+Overall Niche Grade,9-12 ,Toms River High School North,"2,151 Students",194.0,14:1 Student-Teacher Ratio, NJ ,north-toms-river,Public School ,https://www.niche.com/k12/toms-river-high-school-north-toms-river-nj/
6289,#192 Best Public High Schools in New Jersey,H,Franklin Township Public School District,B+Overall Niche Grade,9-12 ,Franklin High School,"2,121 Students",195.0,12:1 Student-Teacher Ratio, NJ ,somerset,Public School ,https://www.niche.com/k12/franklin-high-school-somerset-nj/
6291,#193 Best Public High Schools in New Jersey,H,South Plainfield School District,B+Overall Niche Grade,9-12 ,South Plainfield High School,"1,016 Students",196.0,11:1 Student-Teacher Ratio, NJ ,south-plainfield,Public School ,https://www.niche.com/k12/south-plainfield-high-school-south-plainfield-nj/
6295,#194 Best Public High Schools in New Jersey,H,Sayreville School District,B+Overall Niche Grade,9-12 ,Sayreville War Memorial High School,"1,679 Students",197.0,13:1 Student-Teacher Ratio, NJ ,parlin,Public School ,https://www.niche.com/k12/sayreville-war-memorial-high-school-parlin-nj/
6297,#195 Best Public High Schools in New Jersey,H,Clark Township Public Schools,B+Overall Niche Grade,9-12 ,Arthur L. Johnson High School,725 Students,198.0,11:1 Student-Teacher Ratio, NJ ,clark,Public School ,https://www.niche.com/k12/arthur-l-johnson-high-school-clark-nj/
6299,#196 Best Public High Schools in New Jersey,H,Hamilton Township School District (Hamilton),B+Overall Niche Grade,9-12 ,Nottingham High School - North,"1,245 Students",199.0,13:1 Student-Teacher Ratio, NJ ,--north-hamilton,Public School ,https://www.niche.com/k12/nottingham-high-school---north-hamilton-nj/
6301,#197 Best Public High Schools in New Jersey,H,Middle Township Public School District,B+Overall Niche Grade,9-12 ,Middle Township High School,800 Students,200.0,13:1 Student-Teacher Ratio, NJ ,cape-may-court-house,Public School ,https://www.niche.com/k12/middle-township-high-school-cape-may-court-house-nj/
6303,#198 Best Public High Schools in New Jersey,H,Plumsted Township School District,B+Overall Niche Grade,9-12 ,New Egypt High School,500 Students,201.0,12:1 Student-Teacher Ratio, NJ ,new-egypt,Public School ,https://www.niche.com/k12/new-egypt-high-school-new-egypt-nj/
6306,#199 Best Public High Schools in New Jersey,H,Toms River Regional School District,B+Overall Niche Grade,9-12 ,Toms River High School South,"1,390 Students",202.0,13:1 Student-Teacher Ratio, NJ ,south-toms-river,Public School ,https://www.niche.com/k12/toms-river-high-school-south-toms-river-nj/
6308,#200 Best Public High Schools in New Jersey,H,Paterson Public School District,B+Overall Niche Grade,9-12 ,School of Science Technology Engineering & Mathematics,610 Students,203.0,15:1 Student-Teacher Ratio, NJ ,of-science-technology-engineering--and--mathematics-paterson,Public School ,https://www.niche.com/k12/school-of-science-technology-engineering--and--mathematics-paterson-nj/
6310,#201 Best Public High Schools in New Jersey,H,Middletown Township Public School District,B+Overall Niche Grade,9-12 ,Middletown High School North,"1,387 Students",204.0,12:1 Student-Teacher Ratio, NJ ,north-middletown,Public School ,https://www.niche.com/k12/middletown-high-school-north-middletown-nj/
6334,#209 Best Public High Schools in New Jersey,H,Cape May Court House,BOverall Niche Grade,9-12 ,Cape May County Technical High School,516 Students,215.0,8:1 Student-Teacher Ratio, NJ ,cape-may-court-house,Public School ,https://www.niche.com/k12/cape-may-county-technical-high-school-cape-may-court-house-nj/
6336,#210 Best Public High Schools in New Jersey,H,Frenchtown,BOverall Niche Grade,9-12 ,Delaware Valley Regional High School,825 Students,216.0,12:1 Student-Teacher Ratio, NJ ,frenchtown,Public School ,https://www.niche.com/k12/delaware-valley-regional-high-school-frenchtown-nj/
6339,,H,nj,,,,,,,nj,,,https://www.niche.com/k12/atlantic-county-institute-of-technology-mays-landing-nj/
6340,#212 Best Public High Schools in New Jersey,H,Haddon Heights School District,BOverall Niche Grade,7-12 ,Haddon Heights Junior/Senior High School,794 Students,217.0,11:1 Student-Teacher Ratio, NJ ,haddon-heights,Public School ,https://www.niche.com/k12/haddon-heights-junior-senior-high-school-haddon-heights-nj/
